Column,Statistic,P-Value,Sample_Count,Is_Normal,Mean,Std_Dev,Min,Max
Temp (C),0.863547170307235,6.285356027157369e-16,311,No,28.15813504823151,1.1150688078406967,23.6,30.75
Baro (mb),0.575164022333152,7.086166014701016e-27,311,No,1011.8070739549839,4.0490637855773945,997.0,1014.0
Depth (m),0.5301948227378592,5.403068952858825e-28,311,No,0.2136655957106109,0.32573599377635165,-0.189999998,3.309999943
pH,0.8978274522937064,1.2544139408779187e-13,311,No,6.944051446945336,0.585938715216732,5.13,7.86
ORP (REDOX),0.812623700355621,1.1204649299347708e-18,311,No,123.7790996784566,85.36570615635945,-11.6,441.6
DO (% Sat),0.781643364978654,4.343387182478749e-20,311,No,495.5067524115757,1.4865589405279285,493.3,501.9
DO (mg/L),0.8419911619067137,3.602606516764674e-17,311,No,37.672668810289395,1.766304219666352,32.1,41.45
EC (uS/cm @25C),0.5563720966041632,2.3578625240165175e-27,311,No,8531.012861736335,16864.42997859874,3.0,66333.0
RES (Ohms.cm),0.07817103946475845,4.189895803204269e-36,311,No,2951.935691318328,14144.714238178227,14.0,250000.0
TDS (mg/L),0.5563738857157365,2.3581054150575005e-27,311,No,5544.688102893891,10961.892976204485,1.0,43116.0
SAL (PSU),0.5404111719585512,9.526835240407937e-28,311,No,5.36694533762058,11.145362206023366,0.0,45.06
SSG (st),0.4676872028774245,2.0482243222155714e-29,311,No,3.0884244372990355,7.555117540977194,0.0,31.6
Turbidity (NTU),0.07699629762311977,4.035092925264434e-36,311,No,12.637942122186496,54.36458798445199,0.0,948.0
Nitrate (mg/L),0.7333692259418363,4.8216647341486915e-20,257,No,6115.923112840468,7782.5363852589435,0.0,29458.9
Alt (m),0.430459408552922,1.332697133469345e-29,297,No,21.949494949494948,37.417126553776946,3.0,162.0
